Percentage served,Time in ms
0,6.889
1,8.026
2,8.185
3,8.284
4,8.358
5,8.425
6,8.487
7,8.553
8,8.616
9,8.690
10,8.783
11,8.909
12,9.098
13,9.359
14,9.793
15,10.335
16,10.977
17,11.771
18,12.549
19,13.355
20,14.071
21,14.568
22,15.007
23,15.466
24,16.050
25,16.853
26,17.944
27,19.323
28,20.748
29,22.180
30,23.527
31,25.125
32,27.339
33,30.093
34,32.925
35,36.478
36,40.575
37,45.277
38,51.498
39,59.313
40,69.390
41,92.644
42,230.304
43,1366.535
44,1554.268
45,1705.482
46,1815.819
47,1913.366
48,2047.252
49,2143.951
50,2252.165
51,2370.038
52,2466.917
53,2575.537
54,2679.516
55,2777.624
56,2890.376
57,2991.575
58,3101.323
59,3222.200
60,3326.550
61,3441.816
62,3566.140
63,3686.421
64,3816.863
65,3950.820
66,4092.643
67,4233.861
68,4395.878
69,4561.070
70,4726.727
71,4899.293
72,5080.431
73,5288.404
74,5500.930
75,5725.516
76,5954.053
77,6196.568
78,6449.739
79,6707.952
80,6966.039
81,7255.419
82,7558.073
83,7871.841
84,8216.162
85,8585.354
86,8998.025
87,9440.674
88,9949.117
89,10540.052
90,11248.151
91,12142.000
92,13230.215
93,14735.107
94,16934.395
95,19474.188
96,22788.453
97,28989.727
98,50901.222
99,53351.766
100,139559.058
