Percentage served,Time in ms
0,2.307
1,3.478
2,4.461
3,7.017
4,12.095
5,18.027
6,25.164
7,33.914
8,41.790
9,46.982
10,54.446
11,59.400
12,63.514
13,71.710
14,79.185
15,83.102
16,90.069
17,97.858
18,105.237
19,112.289
20,117.578
21,125.309
22,132.342
23,136.625
24,139.579
25,143.537
26,148.599
27,152.675
28,155.867
29,159.992
30,162.914
31,164.626
32,166.656
33,171.137
34,177.126
35,181.529
36,185.050
37,188.438
38,192.965
39,196.758
40,198.946
41,201.057
42,202.913
43,204.770
44,206.963
45,208.798
46,210.510
47,212.547
48,214.950
49,217.101
50,219.402
51,221.377
52,223.574
53,225.363
54,226.850
55,228.332
56,229.639
57,230.782
58,232.100
59,233.559
60,235.140
61,236.993
62,238.815
63,240.583
64,242.510
65,244.349
66,246.049
67,247.588
68,249.211
69,250.706
70,251.968
71,253.104
72,254.113
73,255.183
74,256.257
75,257.234
76,258.308
77,259.628
78,260.974
79,262.325
80,263.847
81,265.232
82,266.991
83,269.002
84,270.673
85,272.608
86,274.900
87,277.669
88,280.747
89,284.081
90,289.214
91,295.489
92,304.463
93,321.937
94,355.711
95,454.687
96,816.332
97,1194.659
98,1277.695
99,1365.653
100,17391.318
