KiB used, 272540 buff/cache
716 5.3 0.4 0:12.17
716 5.3 0.4 0:12.21
716 5.0 0.4 0:12.26
716 5.6 0.4 0:12.30
716 0.0 0.4 0:12.34
716 0.0 0.4 0:12.39
716 0.0 0.4 0:12.44
716 0.0 0.4 0:12.49
716 5.6 0.4 0:12.55
716 5.0 0.4 0:12.60
716 5.0 0.4 0:12.65
716 5.3 0.4 0:12.70
716 5.3 0.4 0:12.75
716 5.3 0.4 0:12.80
716 5.6 0.4 0:12.86
716 5.6 0.4 0:12.90
716 5.3 0.4 0:12.95
716 5.6 0.4 0:12.99
716 5.0 0.4 0:13.04
716 5.3 0.4 0:13.09
716 11.1 0.4 0:13.14
716 5.0 0.4 0:13.19
716 5.6 0.4 0:13.23
716 5.3 0.4 0:13.28
716 0.0 0.4 0:13.33
716 4.5 0.4 0:13.38
716 5.0 0.4 0:13.43
716 0.0 0.4 0:13.47
716 5.6 0.4 0:13.52
716 5.6 0.4 0:13.57
716 5.3 0.4 0:13.63
716 10.5 0.4 0:13.67
716 5.6 0.4 0:13.72
716 5.6 0.4 0:13.77
716 10.5 0.4 0:13.83
716 0.0 0.4 0:13.87
716 5.3 0.4 0:13.93
716 5.3 0.4 0:13.98
716 10.5 0.4 0:14.04
716 4.5 0.4 0:14.09
716 5.3 0.4 0:14.14
716 5.0 0.4 0:14.20
716 5.6 0.4 0:14.24
716 9.5 0.4 0:14.31
716 5.3 0.4 0:14.35
716 5.3 0.4 0:14.39
716 5.0 0.4 0:14.44
716 5.6 0.4 0:14.49
716 5.3 0.4 0:14.55
716 11.1 0.4 0:14.61
716 0.0 0.4 0:14.66
716 5.6 0.4 0:14.72
716 5.6 0.4 0:14.77
716 5.3 0.4 0:14.82
716 5.3 0.4 0:14.89
716 10.5 0.4 0:14.95
716 4.8 0.4 0:15.00
716 5.3 0.4 0:15.06
716 5.3 0.4 0:15.10
716 5.3 0.4 0:15.15
716 5.3 0.4 0:15.20
716 5.6 0.4 0:15.25
716 5.6 0.4 0:15.29
716 5.3 0.4 0:15.34
716 5.0 0.4 0:15.39
716 5.3 0.4 0:15.44
716 0.0 0.4 0:15.47
716 5.6 0.4 0:15.52
716 5.6 0.4 0:15.56
716 4.5 0.4 0:15.62
716 5.0 0.4 0:15.66
716 5.6 0.4 0:15.72
716 5.3 0.4 0:15.77
716 5.3 0.4 0:15.82
716 5.3 0.4 0:15.87
716 5.6 0.4 0:15.92
716 0.0 0.4 0:15.92
716 0.0 0.4 0:15.92
