KiB 1533724 avail Mem
724 0.0 0.4 1:23.46
724 5.0 0.4 1:23.49
724 5.6 0.4 1:23.52
724 5.3 0.4 1:23.55
724 0.0 0.4 1:23.57
724 0.0 0.4 1:23.60
724 0.0 0.4 1:23.62
724 0.0 0.4 1:23.65
724 11.8 0.4 1:23.69
724 5.6 0.4 1:23.71
724 0.0 0.4 1:23.73
724 5.6 0.4 1:23.76
KiB 1534724 avail Mem
724 16.7 0.4 1:23.83
724 0.0 0.4 1:23.83
724 5.6 0.4 1:23.86
724 5.6 0.4 1:23.91
724 5.6 0.4 1:23.95
724 0.0 0.4 1:23.97
724 0.0 0.4 1:24.00
724 5.6 0.4 1:24.03
724 0.0 0.4 1:24.06
724 0.0 0.4 1:24.08
724 5.3 0.4 1:24.11
724 4.5 0.4 1:24.14
724 4.8 0.4 1:24.16
724 5.6 0.4 1:24.19
724 0.0 0.4 1:24.21
724 5.6 0.4 1:24.24
724 0.0 0.4 1:24.26
724 0.0 0.4 1:24.28
724 11.1 0.4 1:24.32
724 11.1 0.4 1:24.34
724 0.0 0.4 1:24.36
724 0.0 0.4 1:24.37
724 0.0 0.4 1:24.40
724 0.0 0.4 1:24.42
724 5.3 0.4 1:24.46
724 5.3 0.4 1:24.49
724 5.0 0.4 1:24.52
724 5.6 0.4 1:24.55
724 0.0 0.4 1:24.57
724 0.0 0.4 1:24.60
724 0.0 0.4 1:24.63
724 0.0 0.4 1:24.65
724 5.9 0.4 1:24.68
724 0.0 0.4 1:24.70
724 0.0 0.4 1:24.72
724 0.0 0.4 1:24.76
7244 15.0 0.2 0:00.03
724 5.3 0.4 1:24.81
724 0.0 0.4 1:24.83
724 0.0 0.4 1:24.86
724 5.6 0.4 1:24.89
724 5.9 0.4 1:24.92
KiB 1532724 avail Mem
724 5.6 0.4 1:24.97
724 5.0 0.4 1:25.00
724 5.3 0.4 1:25.02
724 5.6 0.4 1:25.05
724 5.6 0.4 1:25.07
724 0.0 0.4 1:25.09
724 0.0 0.4 1:25.12
724 5.6 0.4 1:25.15
724 11.1 0.4 1:25.18
724 11.1 0.4 1:25.21
724 5.6 0.4 1:25.24
724 0.0 0.4 1:25.26
724 5.6 0.4 1:25.29
724 0.0 0.4 1:25.31
724 10.0 0.4 1:25.35
724 0.0 0.4 1:25.36
724 0.0 0.4 1:25.39
724 5.6 0.4 1:25.43
724 4.8 0.4 1:25.46
724 0.0 0.4 1:25.48
724 5.6 0.4 1:25.51
724 0.0 0.4 1:25.53
724 5.6 0.4 1:25.56
724 0.0 0.4 1:25.56
724 0.0 0.4 1:25.56
724 0.0 0.4 1:25.56
724 0.0 0.4 1:25.56
724 0.0 0.4 1:25.56
724 0.0 0.4 1:25.56
724 0.0 0.4 1:25.56
