Percentage served,Time in ms
0,26.515
1,37.524
2,41.072
3,42.585
4,44.279
5,45.267
6,46.172
7,47.022
8,47.664
9,48.295
10,48.868
11,49.358
12,49.848
13,50.340
14,50.734
15,51.108
16,51.467
17,51.784
18,52.143
19,52.509
20,52.859
21,53.184
22,53.502
23,53.819
24,54.138
25,54.439
26,54.768
27,55.093
28,55.391
29,55.714
30,56.012
31,56.308
32,56.573
33,56.854
34,57.142
35,57.431
36,57.719
37,57.992
38,58.289
39,58.575
40,58.881
41,59.183
42,59.497
43,59.841
44,60.144
45,60.443
46,60.764
47,61.080
48,61.403
49,61.734
50,62.077
51,62.408
52,62.722
53,63.080
54,63.448
55,63.805
56,64.202
57,64.608
58,65.054
59,65.423
60,65.792
61,66.150
62,66.568
63,67.007
64,67.448
65,67.880
66,68.279
67,68.689
68,69.149
69,69.581
70,69.970
71,70.366
72,70.807
73,71.243
74,71.740
75,72.217
76,72.741
77,73.263
78,73.847
79,74.403
80,74.971
81,75.687
82,76.395
83,77.113
84,77.893
85,78.896
86,79.866
87,81.165
88,82.519
89,84.050
90,85.407
91,87.522
92,89.132
93,91.051
94,93.389
95,97.970
96,102.424
97,114.085
98,130.826
99,1075.920
100,1302.311
