Percentage served,Time in ms
0,8.162
1,15.469
2,17.250
3,18.037
4,18.399
5,18.651
6,18.869
7,19.070
8,19.254
9,19.435
10,19.622
11,19.813
12,20.018
13,20.241
14,20.500
15,20.774
16,21.052
17,21.328
18,21.570
19,21.788
20,21.967
21,22.156
22,22.343
23,22.515
24,22.686
25,22.850
26,23.002
27,23.136
28,23.251
29,23.355
30,23.448
31,23.540
32,23.625
33,23.703
34,23.774
35,23.838
36,23.901
37,23.961
38,24.016
39,24.070
40,24.121
41,24.169
42,24.216
43,24.263
44,24.309
45,24.354
46,24.400
47,24.444
48,24.488
49,24.530
50,24.574
51,24.619
52,24.663
53,24.705
54,24.748
55,24.790
56,24.834
57,24.877
58,24.922
59,24.971
60,25.021
61,25.069
62,25.119
63,25.168
64,25.219
65,25.274
66,25.329
67,25.387
68,25.448
69,25.516
70,25.587
71,25.670
72,25.759
73,25.854
74,25.962
75,26.084
76,26.223
77,26.397
78,26.590
79,26.843
80,27.204
81,27.871
82,29.017
83,30.729
84,33.710
85,41.607
86,53.256
87,60.342
88,71.363
89,81.658
90,91.045
91,96.448
92,242.263
93,262.985
94,293.642
95,473.174
96,1014.084
97,1034.883
98,1052.046
99,1309.322
100,19209.034
