Percentage served,Time in ms
0,6.414
1,19.539
2,20.495
3,20.870
4,21.141
5,21.413
6,21.734
7,22.259
8,22.927
9,23.673
10,24.742
11,25.941
12,27.228
13,28.484
14,29.680
15,30.727
16,31.761
17,32.621
18,33.257
19,33.771
20,34.237
21,34.694
22,35.060
23,35.402
24,35.740
25,36.084
26,36.416
27,36.744
28,37.059
29,37.341
30,37.608
31,37.868
32,38.113
33,38.350
34,38.577
35,38.807
36,39.021
37,39.224
38,39.435
39,39.640
40,39.835
41,40.031
42,40.211
43,40.384
44,40.565
45,40.747
46,40.928
47,41.117
48,41.295
49,41.476
50,41.655
51,41.850
52,42.050
53,42.254
54,42.463
55,42.684
56,42.903
57,43.141
58,43.379
59,43.634
60,43.899
61,44.187
62,44.462
63,44.770
64,45.089
65,45.447
66,45.799
67,46.166
68,46.598
69,47.024
70,47.571
71,48.079
72,48.596
73,49.110
74,49.637
75,50.231
76,50.821
77,51.541
78,52.322
79,53.051
80,53.671
81,54.347
82,55.135
83,55.928
84,56.824
85,57.806
86,58.946
87,60.115
88,61.438
89,62.641
90,63.883
91,65.338
92,66.971
93,68.655
94,70.443
95,72.155
96,74.467
97,77.350
98,81.850
99,247.981
100,1251.393
