KiB 1521736 avail Mem
736 5.3 0.4 0:32.55
736 5.0 0.4 0:32.61
736 5.9 0.4 0:32.70
736 5.0 0.4 0:32.78
736 16.7 0.4 0:32.89
736 11.1 0.4 0:32.99
736 16.7 0.4 0:33.09
736 4.8 0.4 0:33.20
736 5.6 0.4 0:33.30
736 4.8 0.4 0:33.41
736 11.1 0.4 0:33.52
736 5.3 0.4 0:33.60
11481 15.0 0.1 0:00.03
736 16.7 0.4 0:33.81
736 5.3 0.4 0:33.91
736 10.0 0.4 0:34.01
736 5.3 0.4 0:34.10
736 11.1 0.4 0:34.20
736 11.1 0.4 0:34.29
736 11.1 0.4 0:34.38
736 11.1 0.4 0:34.48
736 5.9 0.4 0:34.56
736 10.5 0.4 0:34.66
736 5.6 0.4 0:34.73
736 5.6 0.4 0:34.82
736 11.1 0.4 0:34.92
736 5.6 0.4 0:35.01
736 11.1 0.4 0:35.10
736 10.5 0.4 0:35.21
736 11.1 0.4 0:35.30
KiB used, 338736 buff/cache
736 10.5 0.4 0:35.51
736 10.5 0.4 0:35.59
736 11.8 0.4 0:35.69
736 5.9 0.4 0:35.77
736 5.6 0.4 0:35.86
736 5.3 0.4 0:35.95
736 15.8 0.4 0:36.05
736 5.6 0.4 0:36.13
736 5.6 0.4 0:36.20
736 5.6 0.4 0:36.29
736 10.5 0.4 0:36.38
736 10.5 0.4 0:36.48
736 11.8 0.4 0:36.57
736 5.0 0.4 0:36.64
736 10.0 0.4 0:36.74
736 10.5 0.4 0:36.83
736 5.6 0.4 0:36.90
736 5.3 0.4 0:36.99
736 10.0 0.4 0:37.08
736 5.3 0.4 0:37.18
736 10.0 0.4 0:37.26
736 0.0 0.4 0:37.33
736 10.5 0.4 0:37.43
736 11.1 0.4 0:37.53
736 5.3 0.4 0:37.62
736 11.1 0.4 0:37.73
736 11.8 0.4 0:37.83
736 15.8 0.4 0:37.93
736 10.5 0.4 0:38.01
736 5.3 0.4 0:38.08
736 15.0 0.4 0:38.19
733 5.6 0.4 0:35.79
736 15.0 0.4 0:38.37
736 5.6 0.4 0:38.45
736 5.3 0.4 0:38.55
736 11.1 0.4 0:38.65
736 15.8 0.4 0:38.76
736 5.3 0.4 0:38.85
736 33.3 0.4 0:38.98
736 10.5 0.4 0:39.06
736 5.3 0.4 0:39.14
736 5.6 0.4 0:39.23
736 16.7 0.4 0:39.34
736 13.6 0.4 0:39.45
736 5.0 0.4 0:39.54
736 15.8 0.4 0:39.64
736 5.6 0.4 0:39.72
736 11.1 0.4 0:39.82
736 10.0 0.4 0:39.92
736 10.5 0.4 0:40.02
736 0.0 0.4 0:40.10
736 5.6 0.4 0:40.18
736 22.2 0.4 0:40.33
736 10.0 0.4 0:40.42
736 5.9 0.4 0:40.51
736 15.8 0.4 0:40.61
736 10.5 0.4 0:40.70
736 5.9 0.4 0:40.77
736 11.1 0.4 0:40.86
736 10.0 0.4 0:40.95
736 38.9 0.4 0:41.10
736 5.6 0.4 0:41.17
736 5.6 0.4 0:41.26
KiB 1511736 avail Mem
736 9.5 0.4 0:41.48
736 5.6 0.4 0:41.57
736 11.1 0.4 0:41.66
736 5.3 0.4 0:41.73
736 15.8 0.4 0:41.83
736 16.7 0.4 0:41.93
736 11.1 0.4 0:42.03
736 5.6 0.4 0:42.11
736 11.1 0.4 0:42.21
736 9.5 0.4 0:42.28
736 11.1 0.4 0:42.36
736 27.8 0.4 0:42.48
736 5.6 0.4 0:42.55
736 5.9 0.4 0:42.64
736 5.0 0.4 0:42.73
736 15.8 0.4 0:42.83
736 5.9 0.4 0:42.92
736 10.5 0.4 0:43.01
736 10.5 0.4 0:43.10
736 10.5 0.4 0:43.20
736 11.1 0.4 0:43.29
736 5.3 0.4 0:43.37
736 10.0 0.4 0:43.48
736 11.1 0.4 0:43.57
736 5.6 0.4 0:43.66
736 15.8 0.4 0:43.76
736 10.5 0.4 0:43.85
736 16.7 0.4 0:43.96
736 5.6 0.4 0:44.05
736 10.5 0.4 0:44.14
736 10.5 0.4 0:44.23
736 0.0 0.4 0:44.30
736 10.5 0.4 0:44.40
736 5.6 0.4 0:44.47
733 5.3 0.4 0:41.66
733 31.6 0.4 0:41.78
736 26.3 0.4 0:44.79
733 11.1 0.4 0:41.94
733 10.5 0.4 0:42.03
736 10.5 0.4 0:45.08
736 10.0 0.4 0:45.17
736 22.2 0.4 0:45.29
733 16.7 0.4 0:42.39
733 5.3 0.4 0:42.45
736 16.7 0.4 0:45.56
