KiB used, 631720 buff/cache
720 0.0 0.4 1:55.61
720 0.0 0.4 1:55.64
720 0.0 0.4 1:55.66
720 5.6 0.4 1:55.68
720 0.0 0.4 1:55.70
720 0.0 0.4 1:55.72
720 0.0 0.4 1:55.75
720 0.0 0.4 1:55.75
720 0.0 0.4 1:55.75
720 0.0 0.4 1:55.75
720 0.0 0.4 1:55.75
720 0.0 0.4 1:55.75
720 0.0 0.4 1:55.75
720 0.0 0.4 1:55.75
720 0.0 0.4 1:55.75
720 0.0 0.4 1:55.75
720 0.0 0.4 1:55.75
720 0.0 0.4 1:55.76
720 5.3 0.4 1:55.78
720 0.0 0.4 1:55.80
720 0.0 0.4 1:55.82
720 0.0 0.4 1:55.84
720 0.0 0.4 1:55.87
720 0.0 0.4 1:55.87
720 0.0 0.4 1:55.88
2720 11.1 0.2 0:00.02
720 0.0 0.4 1:55.89
720 0.0 0.4 1:55.89
720 0.0 0.4 1:55.89
720 0.0 0.4 1:55.89
720 0.0 0.4 1:55.89
720 0.0 0.4 1:55.89
720 0.0 0.4 1:55.89
720 0.0 0.4 1:55.89
720 0.0 0.4 1:55.89
720 0.0 0.4 1:55.89
720 0.0 0.4 1:55.89
720 0.0 0.4 1:55.92
720 0.0 0.4 1:55.96
720 5.6 0.4 1:55.98
720 5.6 0.4 1:56.03
720 0.0 0.4 1:56.03
720 5.3 0.4 1:56.04
720 0.0 0.4 1:56.04
720 0.0 0.4 1:56.04
720 0.0 0.4 1:56.05
720 0.0 0.4 1:56.05
720 0.0 0.4 1:56.05
720 0.0 0.4 1:56.05
720 0.0 0.4 1:56.05
720 0.0 0.4 1:56.05
720 0.0 0.4 1:56.05
720 0.0 0.4 1:56.05
720 0.0 0.4 1:56.05
720 5.3 0.4 1:56.06
720 0.0 0.4 1:56.06
720 0.0 0.4 1:56.07
720 5.3 0.4 1:56.08
720 0.0 0.4 1:56.08
720 0.0 0.4 1:56.10
720 0.0 0.4 1:56.12
720 0.0 0.4 1:56.13
720 0.0 0.4 1:56.13
720 0.0 0.4 1:56.13
720 0.0 0.4 1:56.13
KiB 1529720 avail Mem
720 0.0 0.4 1:56.13
720 0.0 0.4 1:56.13
720 0.0 0.4 1:56.13
720 0.0 0.4 1:56.13
720 0.0 0.4 1:56.13
720 0.0 0.4 1:56.13
720 0.0 0.4 1:56.14
720 0.0 0.4 1:56.14
720 0.0 0.4 1:56.16
720 5.0 0.4 1:56.18
720 0.0 0.4 1:56.18
720 0.0 0.4 1:56.19
720 0.0 0.4 1:56.20
720 0.0 0.4 1:56.21
720 0.0 0.4 1:56.21
720 0.0 0.4 1:56.21
720 0.0 0.4 1:56.21
720 0.0 0.4 1:56.21
720 0.0 0.4 1:56.21
720 0.0 0.4 1:56.21
720 0.0 0.4 1:56.21
720 0.0 0.4 1:56.21
720 0.0 0.4 1:56.22
720 0.0 0.4 1:56.22
720 0.0 0.4 1:56.23
720 0.0 0.4 1:56.26
720 5.6 0.4 1:56.28
720 0.0 0.4 1:56.30
720 0.0 0.4 1:56.32
720 0.0 0.4 1:56.34
720 0.0 0.4 1:56.34
720 0.0 0.4 1:56.34
720 0.0 0.4 1:56.36
720 0.0 0.4 1:56.36
720 0.0 0.4 1:56.36
720 0.0 0.4 1:56.36
720 0.0 0.4 1:56.36
720 0.0 0.4 1:56.36
720 0.0 0.4 1:56.36
720 0.0 0.4 1:56.36
720 0.0 0.4 1:56.36
720 0.0 0.4 1:56.37
720 0.0 0.4 1:56.37
720 0.0 0.4 1:56.39
720 10.0 0.4 1:56.41
720 0.0 0.4 1:56.41
720 0.0 0.4 1:56.43
720 5.6 0.4 1:56.45
720 5.6 0.4 1:56.46
720 5.6 0.4 1:56.50
720 0.0 0.4 1:56.54
720 0.0 0.4 1:56.54
720 0.0 0.4 1:56.54
720 0.0 0.4 1:56.54
720 0.0 0.4 1:56.54
720 0.0 0.4 1:56.54
720 0.0 0.4 1:56.54
720 0.0 0.4 1:56.54
720 0.0 0.4 1:56.54
720 0.0 0.4 1:56.55
720 0.0 0.4 1:56.55
720 0.0 0.4 1:56.56
720 0.0 0.4 1:56.57
720 4.8 0.4 1:56.58
720 0.0 0.4 1:56.60
720 0.0 0.4 1:56.61
720 0.0 0.4 1:56.66
720 5.6 0.4 1:56.67
720 0.0 0.4 1:56.68
7202 11.1 0.2 0:00.04
720 0.0 0.4 1:56.69
720 0.0 0.4 1:56.69
720 0.0 0.4 1:56.69
720 0.0 0.4 1:56.69
KiB used, 632612 buff/cache
720 0.0 0.4 1:56.69
720 0.0 0.4 1:56.69
720 0.0 0.4 1:56.70
720 0.0 0.4 1:56.70
720 0.0 0.4 1:56.70
720 5.6 0.4 1:56.72
720 0.0 0.4 1:56.72
720 0.0 0.4 1:56.73
720 0.0 0.4 1:56.75
720 0.0 0.4 1:56.77
720 5.9 0.4 1:56.79
KiB 1529720 avail Mem
720 0.0 0.4 1:56.80
720 0.0 0.4 1:56.80
720 0.0 0.4 1:56.80
720 0.0 0.4 1:56.80
KiB used, 632724 buff/cache
720 0.0 0.4 1:56.80
720 0.0 0.4 1:56.80
720 0.0 0.4 1:56.80
720 5.9 0.4 1:56.81
720 0.0 0.4 1:56.81
720 0.0 0.4 1:56.81
720 0.0 0.4 1:56.81
720 5.6 0.4 1:56.82
720 0.0 0.4 1:56.85
720 5.6 0.4 1:56.86
720 0.0 0.4 1:56.88
720 5.6 0.4 1:56.90
720 0.0 0.4 1:56.90
720 5.6 0.4 1:56.91
720 0.0 0.4 1:56.91
720 0.0 0.4 1:56.91
720 0.0 0.4 1:56.91
720 0.0 0.4 1:56.91
720 0.0 0.4 1:56.91
720 0.0 0.4 1:56.91
KiB used, 632828 buff/cache
720 0.0 0.4 1:56.91
720 0.0 0.4 1:56.91
720 0.0 0.4 1:56.91
720 0.0 0.4 1:56.91
720 0.0 0.4 1:56.91
KiB used, 632828 buff/cache
720 0.0 0.4 1:56.91
720 0.0 0.4 1:56.91
720 0.0 0.4 1:56.91
720 0.0 0.4 1:56.91
720 0.0 0.4 1:56.91
720 0.0 0.4 1:56.91
