Percentage served,Time in ms
0,1.072
1,2.462
2,4.173
3,6.338
4,7.775
5,8.851
6,10.412
7,11.696
8,13.019
9,14.237
10,15.523
11,16.776
12,18.039
13,19.197
14,20.015
15,20.596
16,20.996
17,21.340
18,21.611
19,21.816
20,21.976
21,22.122
22,22.258
23,22.379
24,22.510
25,22.651
26,22.792
27,22.947
28,23.120
29,23.315
30,23.526
31,23.722
32,23.924
33,24.131
34,24.337
35,24.541
36,24.756
37,24.980
38,25.218
39,25.465
40,25.729
41,26.001
42,26.293
43,26.601
44,26.952
45,27.326
46,27.715
47,28.086
48,28.441
49,28.801
50,29.206
51,29.656
52,30.131
53,30.600
54,31.080
55,31.616
56,32.162
57,32.656
58,33.208
59,33.857
60,34.505
61,35.165
62,35.916
63,36.726
64,37.540
65,38.404
66,39.296
67,40.383
68,41.497
69,42.606
70,43.793
71,44.936
72,46.017
73,47.106
74,48.210
75,49.460
76,50.690
77,51.933
78,53.207
79,54.334
80,55.682
81,57.109
82,58.466
83,59.801
84,61.304
85,62.928
86,64.511
87,66.253
88,68.171
89,70.086
90,72.158
91,74.403
92,77.145
93,80.463
94,84.618
95,91.889
96,111.248
97,241.807
98,273.415
99,1043.326
100,3549.960
