Percentage served,Time in ms
0,1.011
1,5.422
2,7.789
3,11.238
4,13.839
5,15.963
6,18.701
7,21.335
8,23.464
9,25.043
10,26.490
11,27.857
12,29.111
13,30.151
14,31.093
15,32.037
16,33.013
17,34.048
18,35.050
19,36.136
20,37.132
21,38.053
22,38.866
23,39.573
24,40.256
25,40.854
26,41.439
27,41.999
28,42.532
29,43.029
30,43.528
31,44.033
32,44.549
33,45.094
34,45.662
35,46.200
36,46.738
37,47.332
38,47.965
39,48.607
40,49.220
41,49.865
42,50.535
43,51.318
44,52.140
45,53.029
46,54.018
47,55.039
48,56.067
49,57.174
50,58.209
51,59.215
52,60.107
53,61.043
54,61.905
55,62.821
56,63.770
57,64.742
58,65.910
59,67.175
60,68.637
61,69.941
62,71.047
63,72.093
64,72.966
65,73.831
66,74.678
67,75.562
68,76.543
69,77.718
70,79.202
71,80.795
72,82.579
73,84.307
74,86.190
75,87.975
76,89.749
77,91.664
78,93.844
79,96.112
80,98.121
81,100.129
82,102.209
83,104.520
84,106.602
85,109.002
86,112.552
87,117.222
88,122.719
89,126.554
90,129.470
91,132.204
92,135.380
93,139.154
94,143.138
95,148.531
96,155.280
97,164.068
98,172.180
99,184.505
100,1089.855
