Percentage served,Time in ms
0,1.297
1,1.605
2,1.692
3,1.813
4,2.135
5,4.527
6,8.531
7,13.613
8,20.028
9,26.581
10,33.978
11,40.454
12,44.906
13,49.128
14,53.523
15,59.072
16,65.329
17,70.484
18,74.452
19,77.440
20,80.133
21,82.688
22,84.740
23,86.660
24,89.023
25,91.057
26,93.404
27,95.970
28,97.929
29,100.525
30,102.970
31,105.163
32,107.065
33,109.143
34,111.597
35,114.591
36,117.579
37,120.650
38,124.641
39,127.559
40,129.875
41,132.000
42,134.452
43,137.976
44,141.439
45,145.401
46,149.089
47,152.006
48,154.483
49,156.573
50,158.922
51,161.623
52,164.758
53,166.895
54,168.838
55,171.138
56,173.875
57,176.298
58,178.978
59,182.447
60,184.244
61,186.097
62,187.859
63,189.906
64,191.617
65,193.624
66,196.099
67,198.672
68,201.897
69,206.523
70,212.101
71,218.057
72,223.166
73,229.227
74,234.484
75,244.594
76,256.378
77,265.784
78,275.892
79,280.445
80,286.414
81,292.070
82,296.629
83,303.318
84,309.380
85,314.669
86,321.713
87,332.073
88,342.978
89,359.163
90,421.386
91,769.427
92,1030.534
93,1106.653
94,1162.419
95,1228.364
96,1306.029
97,1488.948
98,3144.565
99,5265.508
100,12323.975
