Percentage served,Time in ms
0,1.217
1,1.929
2,2.238
3,2.624
4,3.995
5,17.895
6,33.208
7,50.891
8,67.831
9,88.198
10,99.723
11,109.009
12,114.991
13,119.492
14,122.625
15,125.181
16,127.721
17,130.337
18,132.606
19,134.486
20,136.133
21,137.649
22,139.148
23,140.408
24,141.407
25,142.282
26,143.131
27,144.092
28,145.015
29,145.981
30,146.953
31,147.952
32,148.979
33,150.082
34,151.163
35,152.508
36,154.020
37,155.415
38,156.982
39,158.873
40,160.984
41,162.955
42,165.082
43,167.389
44,169.590
45,171.427
46,173.590
47,175.635
48,177.427
49,179.186
50,180.722
51,182.186
52,183.686
53,185.333
54,186.763
55,187.947
56,189.106
57,190.492
58,192.854
59,195.263
60,197.397
61,199.422
62,203.273
63,208.388
64,211.903
65,214.585
66,216.317
67,217.671
68,219.045
69,220.574
70,222.341
71,224.259
72,226.185
73,228.790
74,231.650
75,234.700
76,237.902
77,240.809
78,243.578
79,246.973
80,249.691
81,252.457
82,256.351
83,258.959
84,261.687
85,264.695
86,267.378
87,271.614
88,277.489
89,282.072
90,289.629
91,298.227
92,307.127
93,315.953
94,326.052
95,340.072
96,354.634
97,372.242
98,383.932
99,412.311
100,1019.202
