Percentage served,Time in ms
0,37.201
1,67.965
2,73.082
3,76.316
4,78.526
5,80.279
6,81.951
7,83.471
8,84.716
9,85.765
10,86.773
11,87.738
12,88.784
13,89.760
14,90.721
15,91.533
16,92.257
17,93.003
18,93.742
19,94.454
20,95.112
21,95.756
22,96.418
23,97.012
24,97.597
25,98.187
26,98.818
27,99.421
28,99.958
29,100.504
30,101.057
31,101.584
32,102.153
33,102.682
34,103.219
35,103.738
36,104.273
37,104.813
38,105.343
39,105.864
40,106.373
41,106.854
42,107.329
43,107.771
44,108.205
45,108.681
46,109.192
47,109.722
48,110.256
49,110.810
50,111.420
51,111.973
52,112.503
53,113.054
54,113.592
55,114.164
56,114.766
57,115.371
58,115.928
59,116.508
60,117.107
61,117.663
62,118.262
63,118.878
64,119.523
65,120.132
66,120.759
67,121.400
68,122.104
69,122.767
70,123.471
71,124.175
72,124.869
73,125.624
74,126.430
75,127.352
76,128.269
77,129.269
78,130.475
79,131.733
80,133.138
81,134.340
82,135.625
83,137.055
84,138.758
85,140.400
86,142.052
87,144.124
88,146.531
89,149.100
90,151.997
91,156.052
92,160.508
93,165.625
94,171.243
95,178.977
96,306.489
97,359.968
98,420.996
99,1133.196
100,2016.813
