Percentage served,Time in ms
0,5.015
1,104.846
2,191.307
3,245.950
4,297.623
5,360.685
6,415.550
7,452.830
8,509.723
9,551.639
10,583.760
11,613.144
12,638.798
13,665.766
14,686.889
15,706.380
16,722.756
17,738.045
18,750.205
19,761.525
20,772.470
21,780.623
22,786.592
23,793.236
24,800.553
25,806.448
26,811.884
27,817.959
28,824.693
29,832.253
30,841.390
31,852.745
32,862.646
33,877.918
34,891.825
35,904.386
36,917.126
37,925.191
38,931.652
39,936.507
40,940.303
41,943.894
42,947.796
43,952.520
44,957.344
45,962.272
46,967.183
47,970.935
48,973.686
49,976.801
50,979.559
51,982.051
52,984.535
53,987.150
54,989.384
55,991.704
56,994.163
57,997.068
58,1000.375
59,1004.215
60,1008.033
61,1013.558
62,1020.373
63,1024.953
64,1029.502
65,1033.680
66,1038.968
67,1045.792
68,1057.832
69,1084.223
70,1109.167
71,1126.920
72,1152.549
73,1171.716
74,1227.832
75,1257.628
76,1283.179
77,1301.537
78,1318.956
79,1338.453
80,1359.804
81,1377.249
82,1398.142
83,1417.548
84,1445.030
85,1491.383
86,1537.152
87,1567.333
88,1601.098
89,1634.027
90,1672.918
91,1709.121
92,1761.780
93,1838.328
94,1878.485
95,1924.596
96,1984.664
97,2033.049
98,2091.966
99,2139.595
100,2307.066
