Percentage served,Time in ms
0,1.599
1,2.423
2,3.353
3,5.541
4,12.738
5,17.519
6,21.411
7,24.560
8,27.489
9,31.457
10,35.171
11,38.382
12,41.613
13,45.188
14,48.931
15,51.938
16,54.745
17,57.387
18,60.278
19,63.553
20,66.888
21,70.773
22,76.374
23,81.749
24,88.130
25,93.938
26,98.606
27,102.368
28,106.656
29,110.717
30,113.791
31,117.234
32,121.421
33,126.949
34,134.415
35,140.808
36,149.511
37,160.830
38,170.945
39,179.352
40,188.806
41,198.973
42,209.330
43,215.093
44,221.468
45,227.845
46,233.659
47,238.607
48,242.563
49,245.718
50,248.221
51,250.105
52,252.174
53,254.183
54,256.111
55,258.257
56,260.479
57,262.384
58,264.409
59,266.255
60,268.106
61,269.754
62,271.344
63,272.776
64,274.150
65,275.326
66,276.413
67,277.605
68,278.941
69,280.311
70,281.870
71,283.509
72,285.056
73,286.569
74,288.113
75,289.823
76,291.644
77,293.913
78,296.252
79,298.390
80,300.540
81,302.754
82,305.321
83,308.138
84,311.482
85,314.749
86,319.477
87,325.410
88,335.152
89,350.330
90,433.863
91,708.846
92,910.070
93,1086.801
94,1288.311
95,1324.205
96,1378.401
97,1678.460
98,2219.595
99,3034.609
100,41871.836
