Percentage served,Time in ms
0,13.253
1,20.101
2,20.676
3,21.012
4,21.261
5,21.480
6,21.647
7,21.799
8,21.930
9,22.059
10,22.193
11,22.313
12,22.442
13,22.555
14,22.680
15,22.799
16,22.916
17,23.040
18,23.163
19,23.290
20,23.417
21,23.543
22,23.668
23,23.794
24,23.920
25,24.049
26,24.182
27,24.321
28,24.461
29,24.603
30,24.757
31,24.903
32,25.057
33,25.220
34,25.379
35,25.551
36,25.726
37,25.923
38,26.110
39,26.318
40,26.549
41,26.789
42,27.038
43,27.311
44,27.587
45,27.858
46,28.142
47,28.445
48,28.755
49,29.082
50,29.420
51,29.764
52,30.122
53,30.512
54,30.910
55,31.328
56,31.721
57,32.147
58,32.598
59,33.082
60,33.558
61,34.064
62,34.580
63,35.123
64,35.678
65,36.204
66,36.735
67,37.301
68,37.879
69,38.544
70,39.217
71,39.970
72,40.783
73,41.622
74,42.488
75,43.387
76,44.301
77,45.426
78,46.919
79,48.500
80,50.315
81,52.596
82,55.257
83,58.296
84,62.243
85,65.839
86,71.612
87,96.559
88,235.395
89,240.089
90,244.667
91,250.102
92,259.373
93,462.863
94,1025.831
95,1039.114
96,1048.168
97,1054.678
98,1065.039
99,1287.356
100,4368.151
