Percentage served,Time in ms
0,1.161
1,11.815
2,30.929
3,47.302
4,61.461
5,72.445
6,83.480
7,91.380
8,104.169
9,118.652
10,128.318
11,139.423
12,150.599
13,161.561
14,172.884
15,182.243
16,189.413
17,195.620
18,202.280
19,207.744
20,213.056
21,219.383
22,225.846
23,232.467
24,237.932
25,242.624
26,246.019
27,248.899
28,251.757
29,255.019
30,258.874
31,262.494
32,265.283
33,267.949
34,270.773
35,273.620
36,276.352
37,278.594
38,280.852
39,283.301
40,285.513
41,287.971
42,290.467
43,292.976
44,295.122
45,297.285
46,299.473
47,301.538
48,304.085
49,306.240
50,308.342
51,310.693
52,312.681
53,314.786
54,316.966
55,319.202
56,321.383
57,323.642
58,325.719
59,327.724
60,329.620
61,331.663
62,333.757
63,335.534
64,337.539
65,339.726
66,342.148
67,344.387
68,346.287
69,348.361
70,350.351
71,352.382
72,354.453
73,356.671
74,358.728
75,360.715
76,362.884
77,365.300
78,367.948
79,370.843
80,373.915
81,377.115
82,380.227
83,383.207
84,386.721
85,390.644
86,394.308
87,397.451
88,400.879
89,404.356
90,407.861
91,412.168
92,418.200
93,427.446
94,437.717
95,450.079
96,463.091
97,478.882
98,579.780
99,1287.760
100,6154.484
