Percentage served,Time in ms
0,8.767
1,27.877
2,40.566
3,49.828
4,56.039
5,60.375
6,63.627
7,66.975
8,70.449
9,74.420
10,77.403
11,80.678
12,84.537
13,87.917
14,90.019
15,91.945
16,93.794
17,95.299
18,96.588
19,98.080
20,99.792
21,101.504
22,103.115
23,104.894
24,106.526
25,108.157
26,110.186
27,111.869
28,113.423
29,115.148
30,116.881
31,118.535
32,119.933
33,121.375
34,122.807
35,124.031
36,125.502
37,126.851
38,128.093
39,129.298
40,130.428
41,131.662
42,132.869
43,133.923
44,135.025
45,136.195
46,137.561
47,139.024
48,140.548
49,142.284
50,143.806
51,145.314
52,146.873
53,148.433
54,149.976
55,151.661
56,153.188
57,154.843
58,156.352
59,157.862
60,159.554
61,161.323
62,162.984
63,164.754
64,166.636
65,168.759
66,170.776
67,172.892
68,174.951
69,177.442
70,180.384
71,183.841
72,187.103
73,190.253
74,193.755
75,197.995
76,201.685
77,204.871
78,207.512
79,211.056
80,214.717
81,218.549
82,222.824
83,226.474
84,230.186
85,233.569
86,237.787
87,242.376
88,247.747
89,251.842
90,256.553
91,264.807
92,271.344
93,280.584
94,290.694
95,297.706
96,304.243
97,314.069
98,330.417
99,403.206
100,2814.303
