Percentage served,Time in ms
0,1.168
1,1.451
2,1.614
3,1.795
4,2.137
5,2.821
6,4.036
7,6.285
8,8.239
9,10.045
10,12.304
11,15.356
12,18.060
13,20.669
14,22.664
15,24.578
16,26.695
17,29.092
18,31.893
19,34.975
20,38.514
21,41.415
22,44.163
23,46.470
24,48.762
25,51.060
26,53.221
27,55.808
28,58.688
29,62.152
30,65.720
31,68.787
32,71.998
33,73.938
34,75.790
35,78.096
36,80.576
37,83.101
38,85.035
39,86.980
40,88.674
41,90.341
42,91.763
43,93.159
44,94.568
45,96.073
46,97.596
47,99.338
48,101.291
49,102.955
50,104.493
51,106.119
52,107.732
53,109.360
54,110.717
55,112.105
56,113.833
57,115.587
58,117.738
59,120.743
60,124.535
61,128.324
62,131.148
63,133.723
64,137.155
65,141.599
66,147.097
67,153.736
68,160.652
69,166.355
70,171.942
71,177.502
72,184.392
73,191.708
74,198.691
75,205.082
76,208.531
77,212.082
78,214.764
79,217.262
80,219.487
81,222.427
82,225.252
83,230.966
84,236.348
85,242.683
86,272.605
87,325.227
88,420.715
89,580.703
90,1038.934
91,1093.015
92,1116.484
93,1136.721
94,1174.214
95,1216.217
96,1360.026
97,1994.050
98,3109.749
99,3232.580
100,9678.946
