Percentage served,Time in ms
0,1.261
1,1.882
2,2.227
3,2.720
4,5.517
5,12.513
6,19.867
7,27.238
8,32.949
9,38.142
10,45.895
11,53.704
12,60.180
13,66.671
14,71.237
15,75.182
16,78.633
17,81.435
18,85.053
19,88.510
20,91.495
21,94.175
22,98.137
23,101.666
24,103.849
25,105.704
26,107.856
27,110.193
28,113.220
29,116.656
30,119.478
31,121.912
32,124.445
33,127.251
34,130.060
35,133.716
36,136.769
37,139.982
38,142.373
39,144.686
40,146.904
41,149.326
42,151.499
43,153.594
44,155.505
45,157.124
46,158.775
47,160.301
48,161.902
49,163.343
50,164.650
51,165.826
52,167.231
53,168.633
54,169.946
55,171.041
56,172.286
57,173.709
58,175.149
59,176.419
60,177.537
61,178.751
62,180.028
63,181.346
64,182.918
65,184.470
66,186.029
67,187.501
68,189.173
69,190.852
70,192.828
71,194.979
72,197.147
73,199.421
74,201.805
75,204.285
76,206.725
77,209.910
78,213.521
79,216.330
80,218.563
81,220.965
82,223.601
83,226.824
84,230.229
85,234.549
86,238.234
87,241.424
88,245.696
89,249.966
90,254.414
91,258.919
92,265.310
93,271.509
94,278.018
95,286.667
96,293.410
97,302.294
98,317.725
99,340.814
100,594.942
