Percentage served,Time in ms
0,3.327
1,15.036
2,17.768
3,19.138
4,19.708
5,20.089
6,20.445
7,20.790
8,21.071
9,21.301
10,21.477
11,21.607
12,21.719
13,21.817
14,21.899
15,21.976
16,22.037
17,22.097
18,22.154
19,22.208
20,22.260
21,22.310
22,22.359
23,22.410
24,22.456
25,22.503
26,22.548
27,22.594
28,22.640
29,22.685
30,22.729
31,22.775
32,22.825
33,22.873
34,22.920
35,22.967
36,23.020
37,23.073
38,23.129
39,23.185
40,23.239
41,23.296
42,23.361
43,23.430
44,23.498
45,23.574
46,23.653
47,23.730
48,23.816
49,23.915
50,24.015
51,24.126
52,24.254
53,24.389
54,24.555
55,24.738
56,24.934
57,25.154
58,25.393
59,25.651
60,25.930
61,26.254
62,26.602
63,26.993
64,27.422
65,27.882
66,28.352
67,28.859
68,29.372
69,29.917
70,30.582
71,31.459
72,32.406
73,33.500
74,34.626
75,35.932
76,37.191
77,38.490
78,39.784
79,41.060
80,42.260
81,43.700
82,45.300
83,47.051
84,48.972
85,51.049
86,53.038
87,55.309
88,57.908
89,60.499
90,63.228
91,66.727
92,70.336
93,75.504
94,91.693
95,234.585
96,239.185
97,258.565
98,1027.088
99,1052.099
100,2495.414
