Percentage served,Time in ms
0,11.702
1,18.123
2,20.305
3,21.168
4,21.629
5,21.987
6,22.271
7,22.502
8,22.714
9,22.901
10,23.080
11,23.267
12,23.429
13,23.607
14,23.775
15,23.938
16,24.096
17,24.248
18,24.397
19,24.549
20,24.697
21,24.842
22,24.982
23,25.132
24,25.290
25,25.444
26,25.611
27,25.766
28,25.925
29,26.091
30,26.251
31,26.420
32,26.596
33,26.784
34,26.983
35,27.189
36,27.412
37,27.648
38,27.886
39,28.139
40,28.396
41,28.678
42,28.989
43,29.336
44,29.683
45,30.015
46,30.322
47,30.632
48,30.926
49,31.216
50,31.513
51,31.797
52,32.100
53,32.429
54,32.792
55,33.192
56,33.594
57,34.027
58,34.454
59,34.888
60,35.305
61,35.761
62,36.199
63,36.696
64,37.200
65,37.733
66,38.269
67,38.837
68,39.452
69,40.044
70,40.640
71,41.238
72,41.892
73,42.512
74,43.106
75,43.796
76,44.608
77,45.461
78,46.232
79,47.052
80,47.913
81,48.830
82,49.848
83,50.716
84,51.678
85,52.786
86,53.900
87,55.000
88,56.453
89,58.214
90,60.225
91,62.828
92,67.075
93,72.562
94,82.773
95,238.974
96,247.134
97,256.881
98,468.816
99,1047.302
100,2099.433
