Percentage served,Time in ms
0,0.994
1,1.732
2,1.998
3,2.290
4,2.611
5,2.985
6,3.361
7,3.726
8,4.116
9,4.533
10,5.060
11,5.683
12,6.416
13,7.176
14,7.901
15,8.588
16,9.223
17,9.892
18,10.563
19,11.228
20,11.963
21,12.736
22,13.483
23,14.254
24,14.990
25,15.784
26,16.600
27,17.509
28,18.492
29,19.468
30,20.435
31,21.310
32,22.270
33,23.299
34,24.433
35,25.784
36,27.085
37,28.361
38,29.460
39,30.688
40,31.855
41,32.971
42,34.199
43,35.223
44,36.141
45,36.999
46,37.816
47,38.557
48,39.271
49,39.953
50,40.673
51,41.381
52,42.108
53,42.812
54,43.544
55,44.211
56,44.936
57,45.600
58,46.209
59,46.806
60,47.424
61,48.023
62,48.601
63,49.176
64,49.790
65,50.385
66,50.993
67,51.552
68,52.126
69,52.710
70,53.355
71,54.012
72,54.628
73,55.241
74,55.882
75,56.532
76,57.355
77,58.173
78,59.086
79,60.124
80,61.091
81,62.214
82,63.502
83,64.877
84,66.324
85,67.913
86,69.382
87,70.845
88,72.704
89,75.021
90,77.536
91,80.027
92,83.066
93,86.718
94,91.707
95,103.383
96,254.005
97,479.585
98,1047.409
99,1081.171
100,6055.397
