Percentage served,Time in ms
0,15.918
1,19.658
2,20.594
3,20.792
4,20.880
5,20.943
6,20.996
7,21.040
8,21.079
9,21.116
10,21.150
11,21.181
12,21.211
13,21.243
14,21.272
15,21.300
16,21.328
17,21.354
18,21.381
19,21.409
20,21.436
21,21.464
22,21.494
23,21.523
24,21.551
25,21.580
26,21.611
27,21.644
28,21.673
29,21.707
30,21.741
31,21.775
32,21.813
33,21.851
34,21.890
35,21.935
36,21.981
37,22.032
38,22.089
39,22.149
40,22.218
41,22.289
42,22.366
43,22.441
44,22.519
45,22.603
46,22.685
47,22.769
48,22.849
49,22.938
50,23.030
51,23.121
52,23.222
53,23.328
54,23.462
55,23.618
56,23.795
57,23.973
58,24.161
59,24.351
60,24.568
61,24.782
62,24.996
63,25.221
64,25.422
65,25.626
66,25.851
67,26.100
68,26.387
69,26.681
70,26.954
71,27.216
72,27.494
73,27.792
74,28.076
75,28.353
76,28.618
77,28.869
78,29.121
79,29.380
80,29.657
81,29.984
82,30.334
83,30.757
84,31.183
85,31.642
86,32.187
87,32.930
88,33.629
89,34.329
90,35.147
91,36.478
92,37.743
93,39.379
94,42.712
95,51.975
96,232.221
97,237.289
98,242.124
99,657.928
100,2124.446
