KiB used, 391452 buff/cache
707 0.0 0.4 1:44.09
707 5.3 0.4 1:44.11
707 5.3 0.4 1:44.13
707 0.0 0.4 1:44.14
707 5.6 0.4 1:44.16
707 0.0 0.4 1:44.18
707 0.0 0.4 1:44.20
707 0.0 0.4 1:44.22
707 0.0 0.4 1:44.24
707 0.0 0.4 1:44.26
707 0.0 0.4 1:44.27
707 0.0 0.4 1:44.29
707 5.3 0.4 1:44.31
KiB used, 391688 buff/cache
707 5.6 0.4 1:44.35
707 0.0 0.4 1:44.37
707 0.0 0.4 1:44.39
707 0.0 0.4 1:44.41
707 5.6 0.4 1:44.42
707 5.3 0.4 1:44.44
707 5.3 0.4 1:44.46
707 0.0 0.4 1:44.47
707 0.0 0.4 1:44.49
707 0.0 0.4 1:44.51
KiB used, 391828 buff/cache
707 0.0 0.4 1:44.54
707 0.0 0.4 1:44.56
707 0.0 0.4 1:44.58
707 0.0 0.4 1:44.60
707 0.0 0.4 1:44.62
707 0.0 0.4 1:44.64
707 0.0 0.4 1:44.66
707 0.0 0.4 1:44.67
707 0.0 0.4 1:44.70
707 0.0 0.4 1:44.72
707 0.0 0.4 1:44.74
707 0.0 0.4 1:44.76
707 0.0 0.4 1:44.77
707 0.0 0.4 1:44.80
707 0.0 0.4 1:44.82
707 10.5 0.4 1:44.86
707 11.1 0.4 1:44.88
707 0.0 0.4 1:44.88
707 5.3 0.4 1:44.91
707 0.0 0.4 1:44.92
707 0.0 0.4 1:44.94
707 0.0 0.4 1:44.96
707 5.3 0.4 1:44.98
707 0.0 0.4 1:44.99
707 0.0 0.4 1:45.01
707 0.0 0.4 1:45.03
KiB used, 392192 buff/cache
707 0.0 0.4 1:45.07
707 0.0 0.4 1:45.09
707 0.0 0.4 1:45.10
707 0.0 0.4 1:45.12
707 5.6 0.4 1:45.14
707 0.0 0.4 1:45.15
707 0.0 0.4 1:45.17
707 5.3 0.4 1:45.21
707 5.0 0.4 1:45.23
707 5.3 0.4 1:45.25
707 5.3 0.4 1:45.27
707 0.0 0.4 1:45.28
707 0.0 0.4 1:45.30
707 0.0 0.4 1:45.32
707 5.6 0.4 1:45.34
707 0.0 0.4 1:45.35
707 0.0 0.4 1:45.37
707 0.0 0.4 1:45.39
707 0.0 0.4 1:45.40
707 0.0 0.4 1:45.42
707 0.0 0.4 1:45.43
707 0.0 0.4 1:45.45
707 0.0 0.4 1:45.47
707 0.0 0.4 1:45.49
707 0.0 0.4 1:45.51
707 0.0 0.4 1:45.52
707 5.6 0.4 1:45.54
707 0.0 0.4 1:45.54
707 0.0 0.4 1:45.54
707 0.0 0.4 1:45.54
707 0.0 0.4 1:45.54
707 0.0 0.4 1:45.54
707 0.0 0.4 1:45.54
