KiB 1497080 avail Mem
708 7.8 0.4 0:00.08
708 13.0 0.4 0:00.09
708 10.5 0.4 0:00.08
708 12.1 0.4 0:00.16
708 9.5 0.4 0:00.22
KiB used, 255708 buff/cache
708 5.0 0.4 0:00.37
708 4.8 0.4 0:00.44
708 5.0 0.4 0:00.51
708 5.3 0.4 0:00.58
708 5.3 0.4 0:00.65
708 5.6 0.4 0:00.72
708 10.5 0.4 0:00.79
708 5.6 0.4 0:00.85
708 5.3 0.4 0:00.91
708 5.3 0.4 0:00.97
708 5.0 0.4 0:01.03
708 5.0 0.4 0:01.10
708 19.0 0.4 0:01.21
708 5.3 0.4 0:01.26
708 5.6 0.4 0:01.33
708 4.3 0.4 0:01.40
708 5.6 0.4 0:01.47
708 5.6 0.4 0:01.55
708 5.3 0.4 0:01.61
708 5.3 0.4 0:01.66
708 5.3 0.4 0:01.73
708 5.6 0.4 0:01.80
708 5.3 0.4 0:01.85
708 10.0 0.4 0:01.91
708 5.0 0.4 0:01.97
708 5.6 0.4 0:02.03
708 5.0 0.4 0:02.11
708 5.6 0.4 0:02.16
708 10.5 0.4 0:02.23
708 0.0 0.4 0:02.28
708 0.0 0.4 0:02.35
708 10.0 0.4 0:02.43
708 5.0 0.4 0:02.49
708 5.0 0.4 0:02.55
708 5.0 0.4 0:02.63
708 10.5 0.4 0:02.70
708 10.5 0.4 0:02.77
708 5.6 0.4 0:02.83
708 5.3 0.4 0:02.90
708 5.3 0.4 0:02.96
708 5.0 0.4 0:03.02
708 5.3 0.4 0:03.08
708 5.0 0.4 0:03.14
708 11.1 0.4 0:03.21
708 9.5 0.4 0:03.28
708 0.0 0.4 0:03.33
708 5.0 0.4 0:03.40
708 11.1 0.4 0:03.47
708 0.0 0.4 0:03.55
708 5.6 0.4 0:03.61
708 5.3 0.4 0:03.68
708 5.3 0.4 0:03.73
708 0.0 0.4 0:03.80
708 5.3 0.4 0:03.86
708 5.0 0.4 0:03.93
708 5.3 0.4 0:03.98
708 10.0 0.4 0:04.05
708 5.6 0.4 0:04.11
708 5.3 0.4 0:04.16
708 5.6 0.4 0:04.23
708 5.3 0.4 0:04.28
708 5.6 0.4 0:04.36
708 0.0 0.4 0:04.41
708 5.3 0.4 0:04.47
708 5.6 0.4 0:04.53
708 5.3 0.4 0:04.59
708 5.3 0.4 0:04.66
708 0.0 0.4 0:04.74
708 5.6 0.4 0:04.81
708 10.5 0.4 0:04.88
708 5.3 0.4 0:04.94
708 5.3 0.4 0:04.99
708 0.0 0.4 0:04.99
708 0.0 0.4 0:04.99
708 0.0 0.4 0:04.99
708 0.0 0.4 0:04.99
708 0.0 0.4 0:04.99
708 0.0 0.4 0:04.99
708 0.0 0.4 0:04.99
708 0.0 0.4 0:04.99
708 0.0 0.4 0:04.99
708 0.0 0.4 0:04.99
708 0.0 0.4 0:04.99
708 0.0 0.4 0:04.99
708 0.0 0.4 0:04.99
708 0.0 0.4 0:04.99
708 0.0 0.4 0:04.99
708 0.0 0.4 0:04.99
708 0.0 0.4 0:04.99
708 0.0 0.4 0:04.99
708 0.0 0.4 0:04.99
708 0.0 0.4 0:04.99
708 0.0 0.4 0:04.99
708 0.0 0.4 0:04.99
708 0.0 0.4 0:04.99
708 0.0 0.4 0:04.99
