Percentage served,Time in ms
0,16.088
1,19.912
2,20.586
3,20.909
4,21.072
5,21.182
6,21.270
7,21.343
8,21.409
9,21.468
10,21.526
11,21.583
12,21.640
13,21.696
14,21.751
15,21.806
16,21.865
17,21.925
18,21.994
19,22.061
20,22.141
21,22.227
22,22.328
23,22.426
24,22.542
25,22.661
26,22.791
27,22.920
28,23.064
29,23.215
30,23.376
31,23.543
32,23.703
33,23.882
34,24.076
35,24.273
36,24.470
37,24.681
38,24.927
39,25.200
40,25.463
41,25.711
42,25.949
43,26.203
44,26.459
45,26.735
46,27.042
47,27.375
48,27.681
49,27.970
50,28.253
51,28.560
52,28.846
53,29.163
54,29.453
55,29.725
56,30.004
57,30.277
58,30.579
59,30.884
60,31.164
61,31.442
62,31.678
63,31.909
64,32.156
65,32.406
66,32.632
67,32.851
68,33.065
69,33.286
70,33.509
71,33.737
72,33.952
73,34.187
74,34.460
75,34.730
76,35.023
77,35.347
78,35.672
79,36.062
80,36.518
81,36.935
82,37.348
83,37.817
84,38.312
85,38.912
86,39.659
87,40.502
88,41.308
89,42.427
90,43.634
91,45.425
92,47.695
93,49.958
94,52.369
95,57.364
96,81.731
97,238.580
98,245.042
99,461.459
100,2076.131
