KiB 1528716 avail Mem
716 5.6 0.4 1:51.54
716 0.0 0.4 1:51.58
716 0.0 0.4 1:51.62
716 0.0 0.4 1:51.66
716 5.6 0.4 1:51.71
716 0.0 0.4 1:51.75
716 16.7 0.4 1:51.81
716 4.5 0.4 1:51.85
716 5.6 0.4 1:51.89
716 5.6 0.4 1:51.94
716 5.6 0.4 1:51.99
716 11.1 0.4 1:52.05
716 8.7 0.4 1:52.10
716 4.2 0.4 1:52.15
716 5.6 0.4 1:52.18
716 0.0 0.4 1:52.22
716 4.2 0.4 1:52.28
716 0.0 0.4 1:52.33
716 5.0 0.4 1:52.37
716 5.0 0.4 1:52.42
716 9.1 0.4 1:52.49
716 0.0 0.4 1:52.52
716 5.6 0.4 1:52.56
716 11.8 0.4 1:52.61
716 5.6 0.4 1:52.65
KiB used, 387168 buff/cache
716 5.6 0.4 1:52.76
716 5.9 0.4 1:52.79
716 5.6 0.4 1:52.84
716 5.6 0.4 1:52.89
716 5.3 0.4 1:52.94
716 5.6 0.4 1:52.99
716 5.6 0.4 1:53.04
716 5.9 0.4 1:53.09
716 5.0 0.4 1:53.14
716 5.6 0.4 1:53.19
716 0.0 0.4 1:53.23
716 0.0 0.4 1:53.27
716 0.0 0.4 1:53.31
716 5.6 0.4 1:53.36
716 11.1 0.4 1:53.42
716 0.0 0.4 1:53.46
716 0.0 0.4 1:53.51
716 5.0 0.4 1:53.56
13260 5.6 0.1 0:00.01
716 0.0 0.4 1:53.64
716 0.0 0.4 1:53.68
716 5.6 0.4 1:53.73
716 5.6 0.4 1:53.77
716 5.3 0.4 1:53.81
KiB used, 388928 buff/cache
716 5.0 0.4 1:53.90
716 5.3 0.4 1:53.95
716 4.5 0.4 1:54.00
716 5.6 0.4 1:54.04
13716 16.7 0.2 0:00.03
716 8.7 0.4 1:54.14
716 5.6 0.4 1:54.19
716 0.0 0.4 1:54.23
716 4.2 0.4 1:54.28
716 11.1 0.4 1:54.33
716 4.5 0.4 1:54.38
716 5.3 0.4 1:54.43
716 5.0 0.4 1:54.49
716 5.6 0.4 1:54.53
716 5.6 0.4 1:54.57
716 4.8 0.4 1:54.61
716 4.8 0.4 1:54.66
716 5.9 0.4 1:54.70
716 5.3 0.4 1:54.75
716 5.3 0.4 1:54.79
716 5.6 0.4 1:54.84
716 11.8 0.4 1:54.90
716 5.0 0.4 1:54.95
716 5.3 0.4 1:54.99
716 0.0 0.4 1:55.03
716 0.0 0.4 1:55.08
716 5.6 0.4 1:55.10
716 0.0 0.4 1:55.10
14716 15.8 0.2 0:00.03
716 0.0 0.4 1:55.10
716 0.0 0.4 1:55.10
716 0.0 0.4 1:55.10
716 0.0 0.4 1:55.10
716 0.0 0.4 1:55.10
716 0.0 0.4 1:55.10
716 0.0 0.4 1:55.10
716 0.0 0.4 1:55.10
