KiB used, 351392 buff/cache
KiB used, 351460 buff/cache
708 5.3 0.4 0:52.76
708 0.0 0.4 0:52.78
708 0.0 0.4 0:52.81
708 5.3 0.4 0:52.84
708 0.0 0.4 0:52.86
708 0.0 0.4 0:52.89
708 5.6 0.4 0:52.93
708 0.0 0.4 0:52.95
708 10.5 0.4 0:52.99
708 0.0 0.4 0:53.01
708 0.0 0.4 0:53.04
708 0.0 0.4 0:53.06
708 0.0 0.4 0:53.09
708 0.0 0.4 0:53.11
708 5.3 0.4 0:53.15
708 5.3 0.4 0:53.18
708 0.0 0.4 0:53.20
708 5.0 0.4 0:53.24
708 5.3 0.4 0:53.27
708 11.1 0.4 0:53.32
708 0.0 0.4 0:53.34
708 5.6 0.4 0:53.37
708 5.6 0.4 0:53.40
708 0.0 0.4 0:53.42
708 0.0 0.4 0:53.45
708 0.0 0.4 0:53.47
KiB used, 352008 buff/cache
708 0.0 0.4 0:53.53
708 0.0 0.4 0:53.56
708 5.3 0.4 0:53.59
708 0.0 0.4 0:53.61
708 5.6 0.4 0:53.65
708 0.0 0.4 0:53.67
708 0.0 0.4 0:53.70
708 5.3 0.4 0:53.74
708 0.0 0.4 0:53.76
708 0.0 0.4 0:53.78
708 0.0 0.4 0:53.81
708 4.3 0.4 0:53.84
708 0.0 0.4 0:53.86
708 0.0 0.4 0:53.89
708 0.0 0.4 0:53.92
708 5.6 0.4 0:53.95
708 0.0 0.4 0:53.97
708 0.0 0.4 0:54.00
708 0.0 0.4 0:54.03
708 0.0 0.4 0:54.06
708 0.0 0.4 0:54.09
708 0.0 0.4 0:54.12
708 0.0 0.4 0:54.15
708 0.0 0.4 0:54.18
708 5.6 0.4 0:54.21
708 0.0 0.4 0:54.23
708 0.0 0.4 0:54.26
708 0.0 0.4 0:54.28
708 0.0 0.4 0:54.31
708 5.3 0.4 0:54.34
708 5.6 0.4 0:54.37
708 0.0 0.4 0:54.39
708 5.6 0.4 0:54.42
708 5.0 0.4 0:54.45
708 5.6 0.4 0:54.48
708 0.0 0.4 0:54.51
708 10.0 0.4 0:54.55
708 5.6 0.4 0:54.56
708 0.0 0.4 0:54.58
708 5.6 0.4 0:54.62
708 5.3 0.4 0:54.65
708 0.0 0.4 0:54.67
708 0.0 0.4 0:54.70
708 4.5 0.4 0:54.73
708 0.0 0.4 0:54.75
708 0.0 0.4 0:54.78
708 5.6 0.4 0:54.82
708 0.0 0.4 0:54.85
708 5.9 0.4 0:54.88
KiB 1531708 avail Mem
708 0.0 0.4 0:54.91
708 0.0 0.4 0:54.91
708 0.0 0.4 0:54.91
708 0.0 0.4 0:54.91
708 0.0 0.4 0:54.91
708 0.0 0.4 0:54.91
708 0.0 0.4 0:54.91
708 0.0 0.4 0:54.91
708 0.0 0.4 0:54.91
708 0.0 0.4 0:54.91
708 0.0 0.4 0:54.91
708 0.0 0.4 0:54.91
708 0.0 0.4 0:54.91
